sex,id,is_recid,rand
Male,19,0,0.542488671
Male,120,1,0.524832129
Female,66,0,0.502272201
Female,10,1,0.897958116
Male,67,1,0.841415232
Male,90,1,0.449391482
Male,56,0,0.823102475
Male,76,1,0.460007525
Male,28,1,0.749772334
Male,113,0,0.72221911
Female,38,0,0.353822285
Female,93,0,0.669296514
Female,10,1,0.112742394
Female,104,1,0.706520828
Male,70,0,0.67607092
Male,68,1,0.076946518
Male,50,0,0.852251729
Male,114,1,0.329560697
Female,29,0,0.026305569
Female,66,0,0.542170026
Female,53,1,0.924313408
Female,72,0,0.080887366
Male,71,0,0.799295675
Male,8,0,0.616028286
Male,37,1,0.667039047
Male,19,0,0.170641597
Female,79,0,0.566197647
Female,53,1,0.545638754
Male,107,0,0.730445274
Male,18,0,0.510593557
Male,90,1,0.278374996
Female,30,1,0.913348042
Female,23,0,0.477664075
Male,110,1,0.043379876
Female,11,1,0.809848169
Male,25,0,0.954977604
Male,74,1,0.408357265
Female,41,0,0.585628023
Male,77,1,0.339529979
Female,54,1,0.044266615
Male,92,0,0.710166487
Male,92,0,0.523912177
Female,13,0,0.329359507
Female,72,0,0.698224542
Female,91,0,0.574117266
Female,108,1,0.015280562
Male,1,0,0.883484035
Female,23,0,0.816875879
Male,73,0,0.026948887
Male,8,0,0.440184903
Female,102,1,0.126589644
Female,29,0,0.095623139
Male,7,1,0.008864988
Female,81,1,0.255007823
Male,6,1,0.429255084
Female,72,0,0.035367206
Female,97,1,0.783169429
Male,17,0,0.026286299
Male,24,0,0.963115971
Male,114,1,0.022874561
Male,17,0,0.836861387
Female,23,0,0.724221536
Male,32,0,0.121630006
Female,102,1,0.416025171
Male,52,1,0.244160452
Female,111,0,0.600738652
Female,87,1,0.947008049
Male,42,1,0.21689137
Female,87,1,0.624927814
Male,40,1,0.343177299
Male,62,1,0.286104629
Female,109,1,0.861713136
Female,80,0,0.495771732
Male,8,0,0.229870034
Male,92,0,0.041739311
Female,53,1,0.017779848
Female,23,0,0.399287361
Male,40,1,0.790915503
Male,94,0,0.249473939
Male,35,1,0.556344269
Male,28,1,0.265694219
Male,57,1,0.378055852
Male,17,0,0.792922158
Male,25,0,0.524548677
Male,4,1,0.504273075
Female,72,0,0.078797963
Male,76,1,0.127303156
Female,53,1,0.152014711
Male,65,0,0.589803658
Male,103,0,0.30541308
Male,37,1,0.321078337
Female,16,0,0.257776081
Male,40,1,0.174217603
Male,37,1,0.990971451
Female,54,1,0.336825806
Female,14,0,0.051559371
Male,92,0,0.049289511
Male,28,1,0.188152805
Female,43,1,0.004681759
Female,9,1,0.259218089
Female,108,1,0.472001811
Female,111,0,0.08442245
Male,42,1,0.983417853
Female,91,0,0.184486354
Male,113,0,0.104278201
Female,119,1,0.840022035
Female,29,0,0.258874499
Male,15,1,0.590736347
Male,65,0,0.004198486
Female,59,1,0.566669553
Male,90,1,0.081891345
Female,38,0,0.713190632
Female,33,1,0.416686928
Male,21,1,0.460082956
Male,120,1,0.129212199
Male,107,0,0.949113654
Female,109,1,0.567258402
Female,99,0,0.093424253
Female,102,1,0.064682076
Male,17,0,0.512151097
Male,94,0,0.441662237
Male,21,1,0.607319692
Male,84,1,0.85683377
Female,104,1,0.613681172
Male,55,0,0.951867415
Male,90,1,0.788674728
Male,92,0,0.428534954
Male,52,1,0.482383517
Female,115,1,0.447696523
Female,95,1,0.182211474
Female,54,1,0.458977869
Female,34,1,0.571979105
Female,95,1,0.80157616
Female,64,1,0.8726297
Female,45,0,0.3203914
Female,79,0,0.06180462
Male,74,1,0.344259899
Male,114,1,0.070810264
Male,47,0,0.24650191
Male,17,0,0.593846248
Female,97,1,0.78426348
Female,46,0,0.097508296
Female,41,0,0.999496119
Male,78,0,0.053618754
Female,3,0,0.318757352
Female,87,1,0.086684528
Male,2,1,0.802104947
Male,20,0,0.202441884
Female,102,1,0.657570492
Male,57,1,0.864595406
Male,73,0,0.303140396
Female,36,1,0.150930207
Female,46,0,0.295453068
Female,3,0,0.927693646
Male,12,1,0.644480447
Female,86,1,0.422132045
Female,33,1,0.909312555
Female,45,0,0.70108621
Female,101,0,0.329098485
Female,45,0,0.067257444
Male,83,0,0.857154394
Female,91,0,0.995965557
Female,81,1,0.53322576
Female,34,1,0.206780465
Female,87,1,0.141650632
Male,7,1,0.902816915
