sex,id,is_recid,rand
Female,33,1,0.011340615
Female,16,0,0.026275463
Male,26,1,0.02632321
Female,91,0,0.032774343
Male,120,1,0.039040223
Male,28,1,0.055775774
Female,41,0,0.060477442
Female,115,1,0.066784899
Female,43,1,0.072565629
Female,81,1,0.079707116
Male,15,1,0.080799006
Female,93,0,0.081625602
Male,92,0,0.094242815
Female,109,1,0.104337895
Male,42,1,0.108882382
Female,85,1,0.110265374
Female,10,1,0.11102221
Female,30,1,0.111570212
Male,83,0,0.126722393
Male,65,0,0.128696288
Female,79,0,0.133481281
Male,105,0,0.140468025
Male,117,0,0.140503837
Female,53,1,0.14233141
Male,60,1,0.15407717
Male,113,0,0.161534643
Male,47,0,0.16373772
Female,38,0,0.171491975
Male,7,1,0.183617013
Female,72,0,0.195561282
Female,87,1,0.209928547
Male,8,0,0.216343514
Male,110,1,0.220891419
Female,104,1,0.224113786
Male,62,1,0.231371628
Female,51,0,0.233519517
Male,73,0,0.23631446
Female,119,1,0.243291645
Female,89,0,0.256550637
Male,90,1,0.26091481
Male,67,1,0.270550753
Male,68,1,0.278852662
Female,106,1,0.307585066
Female,46,0,0.31686391
Male,37,1,0.340928133
Female,39,0,0.343307905
Male,2,1,0.349408153
Male,116,0,0.351332916
Male,24,0,0.355188892
Male,56,0,0.356785358
Male,107,0,0.364688873
Male,35,1,0.366466535
Male,4,1,0.374577274
Female,86,1,0.374796521
Male,112,0,0.383219613
Male,76,1,0.390511378
Female,49,1,0.42571838
Female,102,1,0.456073798
Male,19,0,0.457301463
Female,13,0,0.476520545
Female,59,1,0.480868405
Female,95,1,0.484543129
Female,108,1,0.487589193
Male,78,0,0.489068604
Female,75,0,0.497848328
Male,52,1,0.499456292
Male,55,0,0.502648632
Female,31,0,0.504739089
Male,20,0,0.51125384
Male,22,0,0.512005974
Female,96,0,0.520736644
Male,48,1,0.522109985
Female,66,0,0.536873216
Female,11,1,0.551780302
Female,9,1,0.552983746
Female,45,0,0.597016164
Male,84,1,0.608740256
Female,23,0,0.615366958
Female,80,0,0.616393114
Female,101,0,0.629502739
Male,70,0,0.660684855
Female,44,1,0.669663722
Female,36,1,0.683125069
Female,99,0,0.685449002
Male,12,1,0.709431714
Male,50,0,0.716233846
Female,14,0,0.729830278
Male,57,1,0.734533026
Male,40,1,0.735690698
Male,17,0,0.740396799
Male,74,1,0.75138282
Male,58,0,0.751843775
Female,97,1,0.752189484
Male,6,1,0.75249054
Female,100,0,0.773895792
Female,88,0,0.778040796
Female,69,1,0.785234813
Male,114,1,0.786611039
Female,54,1,0.787479525
Female,64,1,0.794057952
Female,5,1,0.807969313
Male,71,0,0.808255521
Male,77,1,0.808468633
Male,32,0,0.815836343
Female,34,1,0.837153438
Male,118,1,0.84628566
Female,63,0,0.854801321
Female,111,0,0.868724523
Female,3,0,0.875115504
Female,82,0,0.883665875
Male,21,1,0.885813237
Male,18,0,0.895542111
Male,27,1,0.908140519
Male,1,0,0.917210999
Male,94,0,0.921303445
Female,29,0,0.930351606
Female,98,1,0.938983521
Male,103,0,0.939023797
Female,61,0,0.9416809
Male,25,0,0.994536258
