sex,id,is_recid,rand
Female,104,0,0.224113786
Female,106,0,0.307585066
Male,103,1,0.939023797
Female,11,0,0.551780302
Female,9,0,0.552983746
Female,87,0,0.209928547
Female,53,0,0.14233141
Male,56,1,0.356785358
Male,107,1,0.364688873
Female,54,0,0.787479525
Female,33,0,0.011340615
Male,19,1,0.457301463
Male,24,1,0.355188892
Female,49,0,0.42571838
Male,18,1,0.895542111
Female,59,0,0.480868405
Male,78,1,0.489068604
Female,30,0,0.111570212
Female,119,0,0.243291645
Male,83,1,0.126722393
Female,81,0,0.079707116
Female,86,0,0.374796521
Male,25,1,0.994536258
Female,115,0,0.066784899
Female,34,0,0.837153438
Female,108,0,0.487589193
Male,116,1,0.351332916
Male,105,1,0.140468025
Male,50,1,0.716233846
Male,20,1,0.51125384
Female,95,0,0.484543129
Female,43,0,0.072565629
Female,109,0,0.104337895
Male,70,1,0.660684855
Male,117,1,0.140503837
Male,47,1,0.16373772
Male,94,1,0.921303445
Female,69,0,0.785234813
Male,55,1,0.502648632
Male,1,1,0.917210999
Female,10,0,0.11102221
Male,58,1,0.751843775
Female,85,0,0.110265374
Female,64,0,0.794057952
Female,44,0,0.669663722
Male,32,1,0.815836343
Male,73,1,0.23631446
Female,98,0,0.938983521
Female,102,0,0.456073798
Female,36,0,0.683125069
Male,22,1,0.512005974
Male,112,1,0.383219613
Female,97,0,0.752189484
Female,5,0,0.807969313
Female,41,0,0.060477442
Female,79,0,0.133481281
Female,100,0,0.773895792
Female,93,0,0.081625602
Male,92,1,0.094242815
Male,65,1,0.128696288
Male,8,1,0.216343514
Male,71,1,0.808255521
Female,23,0,0.615366958
Female,88,0,0.778040796
Male,17,1,0.740396799
Male,113,1,0.161534643
Female,31,0,0.504739089
Female,45,0,0.597016164
Male,35,1,0.366466535
Female,75,0,0.497848328
Male,67,1,0.270550753
Male,120,1,0.039040223
Male,118,1,0.84628566
Female,101,0,0.629502739
Female,39,0,0.343307905
Female,72,0,0.195561282
Female,16,0,0.026275463
Male,90,1,0.26091481
Male,2,1,0.349408153
Male,76,1,0.390511378
Male,15,1,0.080799006
Female,61,0,0.9416809
Female,96,0,0.520736644
Male,57,1,0.734533026
Female,29,0,0.930351606
Female,46,0,0.31686391
Male,68,1,0.278852662
Female,38,0,0.171491975
Male,21,1,0.885813237
Female,99,0,0.685449002
Female,82,0,0.883665875
Male,60,1,0.15407717
Male,62,1,0.231371628
Male,28,1,0.055775774
Female,66,0,0.536873216
Female,111,0,0.868724523
Male,42,1,0.108882382
Male,74,1,0.75138282
Female,51,0,0.233519517
Female,91,0,0.032774343
Male,110,1,0.220891419
Male,77,1,0.808468633
Male,12,1,0.709431714
Male,26,1,0.02632321
Male,7,1,0.183617013
Male,27,1,0.908140519
Female,89,0,0.256550637
Male,6,1,0.75249054
Male,84,1,0.608740256
Male,4,1,0.374577274
Female,63,0,0.854801321
Female,80,0,0.616393114
Male,48,1,0.522109985
Male,52,1,0.499456292
Female,14,0,0.729830278
Male,40,1,0.735690698
Male,114,1,0.786611039
Female,3,0,0.875115504
Male,37,1,0.340928133
Female,13,0,0.476520545
